date,title,body
"27 julio, 2021","
La soja pierde la carrera respecto del maíz
","
La oleaginosa ya no está a la altura del cereal: “el nivel de rindes quedó estancado en los últimos 8 a 10 años”, señalan los ingenieros. 
"
"27 julio, 2021","
La soja pierde la carrera respecto del maíz
","
La oleaginosa ya no está a la altura del cereal: “el nivel de rindes quedó estancado en los últimos 8 a 10 años”, señalan los ingenieros. 
"
"24 julio, 2021","
Sorgo: por los altos rindes se podría revisar la estimación de cosecha
","
Así ocurre en los lotes sembrado en el norte, anticipó la Bolsa de Buenos Aires. La cosecha llega casi al 90% del área.
"
"22 julio, 2021","
La cosecha de maíz dio un salto esta semana
","
El progreso fue de 10% desde el jueves pasado y alcanza ya casi al 80% del área sembrada con el cereal.
"
"22 julio, 2021","
El embarque de maíz en el puerto de Bahía Blanca aumentó 21%
","
Es por la gran bajante que afecta al río Paraná desde hace casi dos años . En los meses de mayo y junio los embarques aumentaron más de 4.500 toneladas.
"
"16 julio, 2021","
Más de 60% del área maicera cosechada, buenos rindes de los planteos tardíos
","
Esta semana se aceleraron las labores en el centro y norte. La falta de algunas lluvias afectaron rindes en los tempranos. La BCBA mantuvo su estimación.
"
"14 julio, 2021","
Las ventas de las cosechas de maíz vienen adelantadas y las de soja retrasadas
","
Son números oficiales, comparando julio 21 versus julio 20. Los productores vendieron ya 32,7 mill/tn de maíz y 24,5 mill/tn de soja 2020/21. Altas ventas de trigo 2021/22.
"
"12 julio, 2021","
Con 75% del sorgo ya cosechado, la producción acumula 2,7 mill/tn
","
Los mayores progresos fueron reportados sobre el NOA y el Centro-Norte de Santa Fe, informando rindes por encima a los esperados.
"
"9 julio, 2021","
Se ralentizó la cosecha de maíz
","
Se dio por una mayor participación se siembras tardías y el lento secado de los granos. Se mantiene el estimado de producción.
"
"7 julio, 2021","
Fuerte aumento de ventas de soja, maíz y trigo entre enero y junio respecto de 2020
","
Según datos de la plataforma SIOGranos, hubo 34% más de operaciones de soja, 53% de maíz y 22% de trigo. Agricultura confirma que trabaja en el SIOAlgodón.
"
"5 julio, 2021","
La cosecha de maíz y sorgo superará los 62 Ms de toneladas
","
Esas son las proyecciones que tiene el ministerio de Agricultura de la Nación. Para Maizar y las Bolsas sería una cosecha récord.
"
"27 julio, 2021","
La soja pierde la carrera respecto del maíz
","
La oleaginosa ya no está a la altura del cereal: “el nivel de rindes quedó estancado en los últimos 8 a 10 años”, señalan los ingenieros. 
"
"24 julio, 2021","
Sorgo: por los altos rindes se podría revisar la estimación de cosecha
","
Así ocurre en los lotes sembrado en el norte, anticipó la Bolsa de Buenos Aires. La cosecha llega casi al 90% del área.
"
"22 julio, 2021","
La cosecha de maíz dio un salto esta semana
","
El progreso fue de 10% desde el jueves pasado y alcanza ya casi al 80% del área sembrada con el cereal.
"
"22 julio, 2021","
El embarque de maíz en el puerto de Bahía Blanca aumentó 21%
","
Es por la gran bajante que afecta al río Paraná desde hace casi dos años . En los meses de mayo y junio los embarques aumentaron más de 4.500 toneladas.
"
"16 julio, 2021","
Más de 60% del área maicera cosechada, buenos rindes de los planteos tardíos
","
Esta semana se aceleraron las labores en el centro y norte. La falta de algunas lluvias afectaron rindes en los tempranos. La BCBA mantuvo su estimación.
"
"14 julio, 2021","
Las ventas de las cosechas de maíz vienen adelantadas y las de soja retrasadas
","
Son números oficiales, comparando julio 21 versus julio 20. Los productores vendieron ya 32,7 mill/tn de maíz y 24,5 mill/tn de soja 2020/21. Altas ventas de trigo 2021/22.
"
"12 julio, 2021","
Con 75% del sorgo ya cosechado, la producción acumula 2,7 mill/tn
","
Los mayores progresos fueron reportados sobre el NOA y el Centro-Norte de Santa Fe, informando rindes por encima a los esperados.
"
"9 julio, 2021","
Se ralentizó la cosecha de maíz
","
Se dio por una mayor participación se siembras tardías y el lento secado de los granos. Se mantiene el estimado de producción.
"
"7 julio, 2021","
Fuerte aumento de ventas de soja, maíz y trigo entre enero y junio respecto de 2020
","
Según datos de la plataforma SIOGranos, hubo 34% más de operaciones de soja, 53% de maíz y 22% de trigo. Agricultura confirma que trabaja en el SIOAlgodón.
"
"5 julio, 2021","
La cosecha de maíz y sorgo superará los 62 Ms de toneladas
","
Esas son las proyecciones que tiene el ministerio de Agricultura de la Nación. Para Maizar y las Bolsas sería una cosecha récord.
"
"4 julio, 2021","
El maíz se cosecha con condición buena a excelente
","
La trilla llega al 80% de la superficie. Aun quedan lotes planteados en forma temprana.
"
"3 julio, 2021","
Maizar criticó la media sanción de la Ley de Biocombustibles con foco en el ambiente
","
Acusó a los diputados de que ‘Benefician a los combustibles fósiles contaminantes”. Destacó la importancia del bioetanol para las economías regionales.
"
"1 julio, 2021","
E Usda recortó área de siembra estadounidense y stocks
","
Aunque fueron ajustes leves, el mercado reaccionó con subas importantes. La preocupación está en el clima seco y caluroso.
"
"30 junio, 2021","
México será el 2do principal importador de maíz en el mundo
","
Durante el ciclo 2021 / 2022, el Usda espera que México se posicione solo por detrás de China como los mayores importadores de maíz a nivel mundial.
"
"30 junio, 2021","
Los productores ya se desprendieron de 23 mill/tn de soja y 31 mill/tn de maíz
","
Son datos del Ministerio de Agricultura. Las ventas de la oleaginosa vienen con retraso respecto del año pasado y las de cereal, adelantadas.
"
"30 junio, 2021","
El CIG ajustó en 3,5 mill/tn la producción mundial de maíz
","
El recorte obedeció a la la caída de los rindes en Brasil por la falta de humedad suficiente que genera estrés hídrico en los cultivos.
"
"29 junio, 2021","
En la Cuenca del Salado bonaerense la cosecha de lotes tempranos de maíz transita su tramo final
","
Los rindes se ubican entre 82 y 83 quintales por hectárea.En los lotes del norte y sur son elevados los niveles de humedad.
"
"25 junio, 2021","
Las cinco claves para alcanzar un maíz óptimo
","
En zonas marginales las fechas tardías son las más elegidas: acá la estrategia es posicionar la floración hasta febrero, con mejores chances desde lo hídrico para asegurar estabilidad.
"
"14 junio, 2021","
Impulsan en el Alto Valle la siembra de un maíz negro con muchas propiedades alimentarias
","
Fue desarrollado por la Facultad de Ciencias Agrarias de la UNCo y es rico en antioxidantes. 
"
"14 junio, 2021","
La BCBA proyecta una cosecha de 48 Ms de toneladas de maíz
","
Para la soja, la buena noticias es que el buen clima continúa favoreciendo el avance de las labores de trilla.
"
"10 junio, 2021","
La BCR proyecta área récord de maíz con 5% mas de superficie
","
La entidad advirtió que a  dos meses y medio de largar la siembra maicera ya es difícil conseguir semilla. La campaña 2021/22 tendrá un clima más favorable que el año pasado
"
