date,title,body
"1 marzo, 2021","
La molienda de soja tuvo récord en enero, pero viene retrasada
","
Fue la 2da mayor de la historia en ese mes. Sin embargo, hasta ahora el procesamiento del poroto es 12% menor respecto de la campaña anterior. Razones del número de enero.
"
"26 febrero, 2021","
La soja madura con rindes ‘por encima de los promedios’ (pero hay incertidumbre climática)
","
Es la situación de los lotes sembrados más tempranamente en la zona núcleo. Las altas temperaturas de estos días podría ser ‘limitante’.
"
"24 febrero, 2021","
La soja sigue trepando en Chicago
","
En el mercado norteamericano hubo subas en todos los granos. En Rosario, la soja se mantuvo estable y hubo buenas ofertas para el maíz.
"
"24 febrero, 2021","
Aquí están, estos son, los ataques de peludos a silos bolsa (y cómo minimizarlos)
","
También de ratones y perros. Biólogos de 3 universidades relevaron los mordiscos en 228 bolsas. Qué animales atacan más según la región y la época del año.
"
"22 febrero, 2021","
El mercado de maíz destacó en el comienzo de la semana en Rosario
","
La soja actuó dispar: bajas en el disponibles, subas para la nueva cosecha. En Chicago, hubo aumentos generalizados.
"
"18 febrero, 2021","
Mejoran las perspectivas de rinde de la soja
","
Así lo destacó el relevo semanal de la BCBA sobre parte de la provincia de Córdoba, Santa Fe y ambos núcleos. Las condiciones agroclimáticas de las próximas semanas serán clave.
"
"16 febrero, 2021","
Arribó a Rosario el primer lote de soja.
","
Corresponde a la campaña 2020/2021. Se descargó en la planta de COFCO Internacional en localidad de Timbúes, Santa Fe.
"
"16 febrero, 2021","
La Prefectura frenó otro traslado ilegal de soja
","
Fue en El Soberbio (Misiones), donde se detectaron tres camiones con bultos en un ‘puerto natural no habilitado’. En 2020 se impidió el contrabando de granos por $217 millones.
"
"15 febrero, 2021","
Los rindes de soja en la zona núcleo superan los 35qq/ha
","
Para el cultivo de maíz en algunas regiones de la zona núcleo los rindes se acercan a los 90qq/ha 
"
"12 febrero, 2021","
La soja se recuperó: 96% está en condición hídrica ‘óptima’
","
El cultivo superó la crisis de la sequía mejoró en todas las regiones. En algunas zonas se reportaron importantes ataques de orugas. 
"
"28 julio, 2021","
El Estado embolsa 57% de las divisas generadas por soja
","
Así lo reveló un trabajo desarrollado por el ingeniero Néstor Roulet. Las cargas tributarias más importantes las representan las retenciones, luego Ganancias, Cheque y Bienes Personales.
"
"27 julio, 2021","
La soja pierde la carrera respecto del maíz
","
La oleaginosa ya no está a la altura del cereal: “el nivel de rindes quedó estancado en los últimos 8 a 10 años”, señalan los ingenieros. 
"
"26 julio, 2021","
La soja tendría en la región núcleo la menor superficie en 20 años
","
Lo advirtió la Bolsa de Rosario. Este año cedería un cuarto de millón de hectáreas frente al maíz que viene con mejor precio y con rindes superiores.
"
"15 julio, 2021","
La bajante del Paraná le resta valor a la harina de soja argentina
","
El subproducto cotiza 22 dólares debajo del brasileño. La bajante es ahora la más importante desde 1944 y las proyecciones son dramáticas hasta enero.
"
"14 julio, 2021","
Las ventas de las cosechas de maíz vienen adelantadas y las de soja retrasadas
","
Son números oficiales, comparando julio 21 versus julio 20. Los productores vendieron ya 32,7 mill/tn de maíz y 24,5 mill/tn de soja 2020/21. Altas ventas de trigo 2021/22.
"
"7 julio, 2021","
Fuerte aumento de ventas de soja, maíz y trigo entre enero y junio respecto de 2020
","
Según datos de la plataforma SIOGranos, hubo 34% más de operaciones de soja, 53% de maíz y 22% de trigo. Agricultura confirma que trabaja en el SIOAlgodón.
"
"1 julio, 2021","
E Usda recortó área de siembra estadounidense y stocks
","
Aunque fueron ajustes leves, el mercado reaccionó con subas importantes. La preocupación está en el clima seco y caluroso.
"
"30 junio, 2021","
Los productores ya se desprendieron de 23 mill/tn de soja y 31 mill/tn de maíz
","
Son datos del Ministerio de Agricultura. Las ventas de la oleaginosa vienen con retraso respecto del año pasado y las de cereal, adelantadas.
"
"29 junio, 2021","
Los herbicidas y fertilizantes muestran incrementos importantes en los precios
","
Sin embargo, en plena siembra de trigo, los productores ponen el cuerpo y le dan para adelante. Buenas perspectivas internacionales. informe de la Bolsa de Cereales de Córdoba.
"
"25 junio, 2021","
La BCBA dio por finalizada la cosecha de soja 2021 con 43,5 mill/tn
","
Tras la demora por las últimas lluvias, durante esta semana las cosechadoras pasaron por las últimas 95.000 ha.
"
"28 julio, 2021","
El Estado embolsa 57% de las divisas generadas por soja
","
Así lo reveló un trabajo desarrollado por el ingeniero Néstor Roulet. Las cargas tributarias más importantes las representan las retenciones, luego Ganancias, Cheque y Bienes Personales.
"
